week, name, version, count, created, downloads
2016/15, unicoder, 0.1.0, 1, 2016-04-13, 5005
2016/13, unicode-display_width, 1.0.3, 9, 2016-03-29, 881163
2016/13, unicode-age, 1.0.0, 1, 2016-03-28, 2102
2016/11, clipboard, 1.1.0, 25, 2016-03-14, 186882
2016/11, unicode-confusable, 1.0.1, 2, 2016-03-14, 2344
2016/10, unicode-confusable, 1.0.0, 1, 2016-03-12, 1747
2016/10, unicode-display_width, 1.0.2, 8, 2016-03-10, 461497
2016/10, unicode-display_width, 1.0.1, 7, 2016-03-07, 29200
2016/09, fancy_irb, 1.0.2, 16, 2016-03-03, 19260
2016/09, unicode-display_width, 1.0.0, 6, 2016-03-02, 4176
2016/09, wcswidth, 1.0.0, 1, 2016-03-01, 2965
2016/08, J-_-L, 1.1.0, 2, 2016-02-27, 2538
2016/08, irbtools-more, 2.1.0, 15, 2016-02-23, 2979
2016/08, core_docs, 0.9.1, 2, 2016-02-22, 2165
2016/07, fancy_irb, 1.0.1, 15, 2016-02-21, 2402
2016/07, microgem, 1.0.6, 7, 2016-02-21, 1906
2016/05, redux, 0.1.0, 1, 2016-02-01, 17965
2016/01, unicode-display_width, 0.3.1, 5, 2016-01-06, 992254
2016/53, paint, 1.0.1, 11, 2016-01-03, 674765
